X,Y,id,Oznaka,Materijal,Visina1,Visina2,Visina3,icon_url
14.804186985516,45.3764594721756,,KP17-RO6,,,,,./0.png
14.8042709368806,45.3760368801723,,KP17-RO5,,,,,./0.png
14.8049294061645,45.3754133850478,,KP18-RO2,,,,,./0.png
14.8054541706369,45.3726796805949,,KP16-RO9,,,,,./0.png
14.8053903802786,45.3728686922371,,KP16-RO8c,,,,,./0.png
14.8053095127714,45.373074950916,,KP16-RO8a,,,,,./0.png
14.8053323640823,45.3730134543786,,KP16-RO8b,,,,,./0.png
14.8052381253672,45.3732448050306,,KP16-RO7,,,,,./0.png
14.8051722777686,45.3734682169626,,KP16-RO6a,,,,,./0.png
14.8051167122451,45.3737973802625,,KP16-RO5b,,,,,./0.png
14.8051124280302,45.3738260672577,,KP16-RO5b,,,,,./0.png
14.8051130814662,45.3740059940617,,KP16-RO4,,,,,./0.png
14.8050272898392,45.3742368303865,,KP16-RO5b,,,,,./0.png
14.8049986946044,45.3742905167418,,KP16-RO3a,,,,,./0.png
14.8049309271998,45.3744670545026,,KP16-RO2c,,,,,./0.png
14.8048839210678,45.3745438355954,,KP16-RO2b,,,,,./0.png
14.8048651923019,45.3745766136809,,KP16-RO2a,,,,,./0.png
14.8047839157867,45.3747974910377,,KP16-RO1,,,,,./0.png
14.8041160541547,45.3721171679291,,KP-RO27,,,,,./0.png
14.80341437872,45.371786389659,,KP3-RO25,,,,,./0.png
14.8011399441194,45.3708153888051,,KP15-RO1b,,,,,./0.png
14.8010765358638,45.370910661559,,KP15-RO1a,,,,,./0.png
14.8013540780593,45.3710034486317,,KP15-RO2a,,,,,./0.png
14.801309935236,45.3711042794196,,KP15-RO2b,,,,,./0.png
14.8018817780135,45.3712699869583,,KP15-RO6,,,,,./0.png
14.8020991904185,45.3712208122181,,KP15-RO7,,,,,./0.png
14.8026349389127,45.3714085656963,,KP15-RO9,,,,,./0.png
14.8015176095608,45.3712517216915,,KP15-RO3,,,,,./0.png
14.8015552472975,45.3712711311191,,KP15-RO4,,,,,./0.png
14.797595007924,45.3719224838737,,KP3-RO1d,,,,,./0.png
14.797673167599,45.3718386233966,,KP3-RO1c,,,,,./0.png
14.7979229391788,45.3717812669708,,KP3-RO1c,,,,,./0.png
14.7982965523433,45.3716533489537,,KP3-RO1a,,,,,./0.png
14.7983172172491,45.3716622262444,,KP3-RO1b,,,,,./0.png
14.7982407876752,45.3718958740886,,KP3-RO2b,,,,,./0.png
14.7983230499015,45.3718449770821,,KP3-RO2a,,,,,./0.png
14.7987661232961,45.3722981539837,,KP3-RO4,,,,,./0.png
14.7990762267399,45.3725619368779,,KP3-RO5a,,,,,./0.png
14.7991561821622,45.3724642927597,,KP3-RO5b,,,,,./0.png
14.7995024666073,45.3724156408676,,KP3-RO6b,,,,,./0.png
14.7994515204825,45.3723495787447,,KP3-RO6c,,,,,./0.png
14.7992969392721,45.3726415719093,,KP3-RO6a,,,,,./0.png
14.799789699809,45.3727385525106,,KP3-RO8b,,,,,./0.png
14.7997528942216,45.3728289751571,,KP3-RO8a,,,,,./0.png
14.80013221133,45.3728591110499,,KP3-RO9,,,,,./0.png
14.8003948164407,45.3729932416125,,KP3-RO10,,,,,./0.png
14.800493666738,45.373042085517,,KP3-RO11,,,,,./0.png
14.8006277911882,45.3730854853663,,KP3-RO12b,,,,,./0.png
14.8007252972649,45.3731350677078,,KP3-RO12a,,,,,./0.png
14.800906872205,45.3732441002053,,KP3-RO13b,,,,,./0.png
14.8009307599853,45.3732564407052,,KP3-RO13a,,,,,./0.png
14.8008121553683,45.3733198850637,,KP3-RO13c,,,,,./0.png
14.8003239992294,45.373292205598,,KP13-RO3a,,,,,./0.png
14.8001698928644,45.3733377648125,,KP13-RO3b,,,,,./0.png
14.8001130715167,45.3732858596192,,KP13-RO3c,,,,,./0.png
14.8004789511187,45.373449480706,,KP13-RO2a,,,,,./0.png
14.8002923604751,45.3735684182998,,KP14-RO21b,,,,,./0.png
14.8003516454264,45.3736380276613,,KP14-RO1a,,,,,./0.png
14.8003087538836,45.3736895604699,,KP14-RO2b,,,,,./0.png
