X,Y,Tip,Dimenzija,Tlak,Napomena,Slika,Datum,Ulica,k.b.,Mjesto,Podaci,Oznaka,icon_url
14.7897704687444,45.3871542390132,PH,75mm,,,,,Vučnik,84,Delnice,Dwg,ZV,./0.png
14.7898508672507,45.3871560730425,PH,75mm,,,,,Vučnik,84,Delnice,Dwg,PHDE 11,./0.png
14.7900897215284,45.388441779258,PH,75mm,,,,,Vučnik,74,Delnice,Dwg,PHDE 12,./0.png
14.7904617549241,45.3891483452488,,,,,,,,,,,,./0.png
14.7910118536457,45.3885787756331,,,,,,,,,,,,./0.png
14.7923477239305,45.3895438901519,PH,75mm,,,,,Vučnik,19,Delnice,Dwg,ZV,./0.png
14.7908263588514,45.3902668472837,PH,75mm,,,,,Vučnik,32,Delnice,Dwg,MI,./0.png
14.7913228725018,45.3905093229523,PH,75mm,,,,,Vučnik,28,Delnice,Dwg,PHDE 15,./0.png
14.7915805482136,45.3898624854956,PH,75mm,,,,,Vučnik,44,Delnice,Dwg,MI,./0.png
14.7920480172986,45.3898820766507,PH,75mm,,,,,Vučnik,15,Delnice,Dwg,PHDE 16,./0.png
14.7934789740402,45.3911986476362,PH,75mm,,,,,Vučnik,1,Delnice,Dwg,PHDE 17,./0.png
14.7972494518083,45.391309556041,PH,75mm,,,,,Podlučički vrh,2,Delnice,Dwg,PHDE 19,./0.png
14.7961320657464,45.3912379066455,PH,75mm,,,,,Podlučički vrh,2,Delnice,Dwg,PHDE 18,./0.png
14.7903866528329,45.3905332875756,PH,75 mm,,,,,Lujzinska-skretanje za V1,,Delnice,Dwg,PHDE 20,./0.png
14.7914972146421,45.3911541661643,PH,75mm,,,,,Lujzinska,66,Delnice,Dwg,PHDE 21,./0.png
14.7941970777572,45.3918461123764,PH,75mm,,,,,Japlenški vrh,1,Delnice,Dwg,PHDE 22,./0.png
14.7920802751243,45.3932050777584,PH,75mm,,,,,Ploškovo,14,Delnice,Dwg,PHDE 26,./0.png
14.7928635839706,45.3925560724069,PH,75mm,,,,,Ploškovo,6,Delnice,Dwg,PHDE 25,./0.png
14.7934736434906,45.3920444192248,PH,75mm,,,,,Ploškovo,3,Delnice,Dwg,PHDE 27,./0.png
14.7937448688295,45.3925070214821,PH,75mm,,,,,Japlenški vrh,5,Delnice,Dwg,ZV,./0.png
14.7938445378152,45.3929323678305,PH,75mm,,,,,Japlenški vrh,7,Delnice,Dwg,PHDE 23,./0.png
14.7935384738472,45.3935816765132,PH,75mm,,,,,Japlenški vrh,13,Delnice,Dwg,PHDE 24,./0.png
14.7938051233253,45.4043314669301,,,,,,,,,,,,./0.png
14.7914683021752,45.4045607267343,,,,,,,,,,,,./0.png
14.7919707313498,45.4051620631193,,,,,,,,,,,,./0.png
14.7930898292344,45.4051858158572,,,,,,,,,,,,./0.png
14.7940741020269,45.4049949957106,,,,,,,,,,,,./0.png
