X,Y,Tip,Naziv,Zapremina,Godina,Kota 1,Kota 2,Q (L/s),Hm (mnm),P (kw),Oprema,icon_url
14.9517247622306,45.3803521069441,Izvor,Frankopan 2,,,,,,,,,./0.png
14.701321908085,45.3288290352014,Crpna stanica,CS Vrelo,,,,,,,,,./0.png
14.7052670997986,45.4126743444228,Vodosprema,VS Pleševka,,,,,,,,,./0.png
14.8529107209758,45.4631169182419,Hidrostanica,HS Brod na Kupi,,,,,"10",,,,./0.png
14.8944366687532,45.3075731902678,Vodosprema,VS Begovo Razdolje,,,,,,,,,./0.png
14.8897565462237,45.2962358438894,Vodosprema,VS Gornj Tuk,,,,,,,,,./0.png
14.8816131449892,45.2968614121992,Crpna stanica,CS Gornji Tuk,,,,,,,,,./0.png
14.9415075918003,45.3682216711118,Hidrostanica,HS 2,,,,,,,,,./0.png
14.7191206368182,45.3097932225894,Vodosprema,VS Grbajel,,,,,,,,,./0.png
14.9174871263359,45.3994810781362,Vodosprema,,,,,,,,,,./0.png
14.6951188948591,45.3121706277643,Reducir stanica,RS 3,,,,,,,,,./0.png
14.6801773850446,45.309716096623,Reducir stanica,RS 2,,,,,,,,,./0.png
14.6760052122681,45.3064055245583,Reducir stanica,RS 1,,,,,,,,,./0.png
