X,Y,Tip okna,Materijal,Oznaka,Napomena,Visina1,Visina2,Visina3,icon_url
14.9732498507647,45.4632289424841,,,,,,,,./0.png
14.972924951012,45.4634348236423,,,,,,,,./0.png
14.9726907666138,45.4635815064599,,,,,,,,./0.png
14.9728240230801,45.4628825134662,,,,,,,,./0.png
14.9729147487329,45.4624897841266,,,,,,,,./0.png
14.9730112030513,45.462270144232,,,,,,,,./0.png
14.9733038763378,45.462081847372,,,,,,,,./0.png
14.973590434535,45.4618643750416,,,,,,,,./0.png
14.9739523685285,45.4615948448747,,,,,,,,./0.png
14.9755321110912,45.4645441577026,,,,,,,,./0.png
14.9685702604897,45.4644549462158,Prolazno,PVC,,,,,,./0.png
14.9689598834607,45.4642593319773,Prolazno,PVC,,,,,,./0.png
14.9691580278308,45.4641433031781,Prolazno,PVC,,,,,,./0.png
14.9693551335069,45.464057418911,Prolazno,PVC,O12,,,,,./0.png
14.9697428576008,45.464074257306,Prolazno,PVC,O11,,,,,./0.png
14.9700677640966,45.4641510086516,Prolazno,PVC,O10,,,,,./0.png
14.9703543259474,45.4641894164933,Prolazno,PVC,"09",,,,,./0.png
14.9705295891221,45.4643199413537,Prolazno,PVC,O8,,,,,./0.png
14.9707819067358,45.4643024597779,Prolazno,PVC,O7,,,,,./0.png
14.970892181299,45.4644894781125,Prolazno,PVC,O6,,,,,./0.png
14.971098416037,45.464572317752,Prolazno,PVC,O5,,,,,./0.png
14.9712738324723,45.4646537993913,Prolazno,PVC,O4,,,,,./0.png
14.9713194701932,45.4649692100851,Prolazno,,O3,,,,,./0.png
14.8088014651329,45.3978295455705,,,SK8-RO-9,,,,,./0.png
14.8086592438935,45.3977329443998,,,SK8-RO-8,,,,,./0.png
14.9717048034177,45.4649182855734,,,O2,,,,,./0.png
14.9720690527703,45.4648280309028,,,O1,,,,,./0.png
14.8041399610737,45.3762989292665,,,K17-RO6,,,,,./0.png
14.8042281746457,45.3760455454723,,PVC,K17-RO5,,,,,./0.png
14.8042912523549,45.3757737066789,,,K17-RO4,,,,,./0.png
14.8043281700891,45.3755067031742,,,K17-RO3,,,,,./0.png
14.8044080858942,45.3752792860394,,,K17-RO2,,,,,./0.png
14.804545143942,45.3751071340724,,,K17-RO1,,,,,./0.png
14.8046923942516,45.3751510556939,,,K18-RO1,,,,,./0.png
14.8049754950145,45.3753807534116,,,K18-RO2,Kaskadna,,,,./0.png
14.8054846038065,45.3724862583313,,,K16-RO10,,,,,./0.png
14.8053740556587,45.3727445497497,,,K16-RO9,,,,,./0.png
14.8052773040579,45.3730033379834,,,K16-RO8,,,,,./0.png
14.805182520457,45.3732730717542,,,K16-RO7,,,,,./0.png
14.8051264677963,45.3735357740681,,,K16-RO6,,,,,./0.png
14.8050737897609,45.3737918981194,,,K16-RO5,,,,,./0.png
14.805037463562,45.3740676008179,,,K16-RO4,,,,,./0.png
14.8049495805891,45.37428078879,,,K16-RO3,,,,,./0.png
14.8048300748378,45.3745420616605,,,K16-RO2,,,,,./0.png
14.8047107479652,45.3747998009075,,,K16-RO1,,,,,./0.png
14.8055122987736,45.3723369352816,,,K3-RO32,,,,,./0.png
14.8053893531715,45.3722599124454,,,K3-RO31,,,,,./0.png
14.8050559057817,45.3721929952926,,,K3-RO30,,,,,./0.png
14.8046888514738,45.3721195526506,,,K3-RO29,,,,,./0.png
14.8043199677055,45.3720429955067,,,K3-RO28,,,,,./0.png
14.8039555949151,45.3719653828322,Kaskadno,,K3-RO27,,,,,./0.png
14.8035693529382,45.3719069711678,,,K3-RO26,,,,,./0.png
14.8033161066142,45.3718806085597,,,K3-RO25,,,,,./0.png
14.8011552388703,45.3709021100263,,,K15-RO1,,,,,./0.png
14.8013240431711,45.3710200426924,,,K15-RO2,,,,,./0.png
14.8015440566336,45.3711872065504,,,K15-RO3,,,,,./0.png
14.8016598469937,45.3712349171784,,,K15-RO4,,,,,./0.png
14.8017563590525,45.3712413171041,,,K15-RO5,,,,,./0.png
14.8018769685579,45.3712184604294,,,K15-RO6,,,,,./0.png
14.8022309997288,45.3711186888944,,,K15-RO7,,,,,./0.png
14.8023744146579,45.3711271174858,,,K15-RO8,,,,,./0.png
14.8025945026334,45.3712764208319,,,K15-RO9,,,,,./0.png
14.8028100497258,45.3714369735511,,,K15-RO10,,,,,./0.png
14.803085182324,45.3716289349239,,,K15-RO11,,,,,./0.png
14.8030561800417,45.371921801474,,,K3-RO24,,,,,./0.png
14.8027160117274,45.3720323052395,,,K3-RO23,,,,,./0.png
14.8023718928092,45.3722066540705,,,K3-RO22,,,,,./0.png
14.8021588994207,45.3723534337421,,,K3-RO21,,,,,./0.png
14.8020141704933,45.3724960357144,,,K3-RO20,,,,,./0.png
14.801840002673,45.3727355013858,,,K3-RO19,,,,,./0.png
14.8016624626235,45.3729790483349,,,K3-RO18,,,,,./0.png
14.8014930343501,45.3732096376989,,,K3-RO17,,,,,./0.png
14.8013131054191,45.3734537430516,,,K3-RO16,,,,,./0.png
14.8012108327061,45.3734993147503,,,K3-RO15,,,,,./0.png
14.8010377885383,45.3734018207281,,,K3-RO14,,,,,./0.png
14.800837469472,45.3732778304334,,,K3-RO13,,,,,./0.png
14.8006336301374,45.3731554135609,,,K3-RO12,,,,,./0.png
14.80046569518,45.3730709165882,,,K3-RO11,,,,,./0.png
14.8002280995654,45.3729601319443,,,K3-RO10,,,,,./0.png
14.7999756103559,45.3728636653012,,,K3-RO9,,,,,./0.png
14.7997672133786,45.3727827908678,,,K3-RO8,,,,,./0.png
14.7995490527428,45.3726938116702,,,K3-RO7,,,,,./0.png
14.7992366999053,45.3725603073461,,,K3-RO6,,,,,./0.png
14.7989037389757,45.3724284052429,,,K3-RO5,,,,,./0.png
14.7985555135999,45.3723189026316,,,K3-RO4,,,,,./0.png
14.7985088306555,45.3721084351661,,,K3-RO3,,,,,./0.png
14.7983548691811,45.371923316965,,,K3-RO2,,,,,./0.png
14.7981885829571,45.3717898917607,,,K3-RO1,,,,,./0.png
14.7985390131326,45.3725028532865,,,K11-RO1,,,,,./0.png
14.8002963302983,45.373641938678,,,K14-RO2,,,,,./0.png
14.8003421577357,45.3735770467609,,,K14-RO1,,,,,./0.png
14.8004634514015,45.373406540957,,,K13-RO2,,,,,./0.png
14.800160125665,45.373305372083,,,K13-RO3,,,,,./0.png
