X,Y,id,Tip spoja,Visina1,Visina2,Visina3,icon_url
14.9730976346421,45.4622100995975,0,Račva,,,,./0.png
14.9752213992589,45.4644392207636,1,,,,,./0.png
14.9689709604792,45.4642548356463,2,Račva 45,,,,./0.png
14.9699075482053,45.4641135335265,3,Račva 45,,,,./0.png
14.970374168394,45.4641452388236,4,Račva 45,,,,./0.png
14.970810251622,45.4643984816282,5,Račva 45,,,,./0.png
14.9708799913267,45.4644810815341,6,Račva 45,,,,./0.png
14.9709641554237,45.464539528579,7,Račva 45,,,,./0.png
14.9694906787051,45.4640730218941,8,Račva 45,,,,./0.png
14.9697257220227,45.464073532982,9,Račva 45,,,,./0.png
14.9708497209587,45.4644973858779,10,Račva 45,,,,./0.png
14.9708987598505,45.4646430850297,11,Račva 45,,,,./0.png
14.9712027507829,45.464608788539,12,Račva 45,,,,./0.png
14.9710199065295,45.4645509710629,13,Račva 45,,,,./0.png
14.971307761672,45.4648451171425,14,Račva 45,,,,./0.png
14.9713601911256,45.4648501696436,15,Račva 45,,,,./0.png
14.97149441753,45.4647928239682,16,Račva 45,,,,./0.png
14.9721529544729,45.4648033056369,17,Račva 45,,,,./0.png
14.8042335582407,45.376025986138,18,Račva 45,,,,./0.png
14.8054011356262,45.3726722763432,19,Račva 45,,,,./0.png
14.8053320828692,45.3728607358418,20,Račva 45,,,,./0.png
14.8052533444114,45.3730644864446,21,Račva 45,,,,./0.png
14.8051925784684,45.3732377299637,22,Račva 45,,,,./0.png
14.8051411098736,45.3734671512187,23,Račva 45,,,,./0.png
14.8050718869406,45.3738023400636,24,Račva 45,,,,./0.png
14.8050707562081,45.37383374993,25,Račva 45,,,,./0.png
14.805057251593,45.3739874148305,26,Račva 45,,,,./0.png
14.8049711585404,45.3742285964186,27,Račva 45,,,,./0.png
14.8048689251625,45.3744557262128,28,Račva 45,,,,./0.png
14.8048356316002,45.3745300124719,29,Račva 45,,,,./0.png
14.8048197141861,45.3745632512599,30,Račva 45,,,,./0.png
14.8047160464472,45.3747908252908,31,Račva 45,,,,./0.png
14.8040981069233,45.3719958328973,32,Račva 45,,,,./0.png
14.8010842310918,45.3708472547674,33,Račva 45,,,,./0.png
14.8011167410886,45.3708730733995,34,Račva 45,,,,./0.png
14.8013604076547,45.371047475214,35,Račva 45,,,,./0.png
14.8015551357044,45.3711920585287,36,Račva 45,,,,./0.png
14.8015843379342,45.371204972999,37,Račva 45,,,,./0.png
14.8018238873774,45.371227609541,38,Račva 45,,,,./0.png
14.8020335258999,45.3711719479526,39,Račva 45,,,,./0.png
14.8026562525834,45.3713223946497,40,Račva 45,,,,./0.png
14.8023044146198,45.3722527672533,41,Račva 45,,,,./0.png
14.80088094592,45.3733076038085,42,Račva 45,,,,./0.png
14.8008575919504,45.3732916829902,43,Račva 45,,,,./0.png
14.8008474903446,45.3732846912682,44,Račva 45,,,,./0.png
14.8006740553046,45.3731797100435,45,Račva 45,,,,./0.png
14.8005863898232,45.3731317104176,46,Račva 45,,,,./0.png
14.8003656469838,45.3730239490013,47,Račva 45,,,,./0.png
14.8000772559592,45.3729041104784,48,Račva 45,,,,./0.png
14.7997839945533,45.3727893033072,49,Račva 45,,,,./0.png
14.7997524850799,45.372776664783,50,Račva 45,,,,./0.png
14.7993803097931,45.3726216698103,51,Račva 45,,,,./0.png
14.7991151365177,45.3725121354362,52,Račva 45,,,,./0.png
14.7991096050028,45.3725099246151,53,Račva 45,,,,./0.png
14.798662926973,45.3723299889288,54,Račva 45,,,,./0.png
14.7985436822144,45.3724340508336,55,Račva 45,,,,./0.png
14.798419680473,45.3720012494746,56,Račva 45,,,,./0.png
14.7982686350259,45.3718541348609,57,Račva 45,,,,./0.png
14.798248521651,45.3718381690297,58,Račva 45,,,,./0.png
14.7979058779035,45.3718111064034,59,Račva 45,,,,./0.png
14.799433924659,45.3724168310596,60,Račva 45,,,,./0.png
14.8002026299589,45.3733197046363,61,Račva 45,,,,./0.png
14.8003128006053,45.3736186141566,62,Račva 45,,,,./0.png
14.8003452941372,45.373572575706,63,Račva 45,,,,./0.png
14.8004454098891,45.3734317895305,64,Račva 45,,,,./0.png
14.8002888500152,45.3733481881656,65,Račva 45,,,,./0.png
14.7985281597323,45.3729818930592,66,Račva 45,,,,./0.png
14.798509809747,45.374181519625,67,Račva 45,,,,./0.png
14.7985095349402,45.3741652702396,68,Račva 45,,,,./0.png
14.7985116437818,45.3739308887161,69,Račva 45,,,,./0.png
14.7985178431007,45.3736491999367,70,Račva 45,,,,./0.png
14.7985190111431,45.3736098644581,71,Račva 45,,,,./0.png
14.7985207403032,45.3734255766917,72,Račva 45,,,,./0.png
14.7985219294848,45.3732659381043,73,Račva 45,,,,./0.png
14.798592372036,45.3732640935528,74,Račva 45,,,,./0.png
14.7988577299072,45.3746032609787,75,Račva 45,,,,./0.png
14.7991134398067,45.3745920760523,76,Račva 45,,,,./0.png
14.7999358845592,45.3746559632108,77,Račva 45,,,,./0.png
14.801194940563,45.3746821801297,78,Račva 45,,,,./0.png
14.8006608634418,45.3743745653156,79,Račva 45,,,,./0.png
14.799433073216,45.3744641374396,80,Račva 45,,,,./0.png
14.7994389267582,45.374415296243,81,Račva 45,,,,./0.png
14.799462031201,45.3742472799763,82,Račva 45,,,,./0.png
14.7994883046827,45.3740541056528,83,Račva 45,,,,./0.png
14.7994920118183,45.374025757006,84,Račva 45,,,,./0.png
14.7995060114463,45.3739135679891,85,Račva 45,,,,./0.png
14.7995124962011,45.3738799359294,86,Račva 45,,,,./0.png
14.7995269938296,45.3738117814396,87,Račva 45,,,,./0.png
14.7995380383837,45.3737324867759,88,Račva 45,,,,./0.png
14.7997669467944,45.3731866524486,89,Račva 45,,,,./0.png
14.7998011027276,45.37313358536,90,Račva 45,,,,./0.png
14.7998670041545,45.3730298093874,91,Račva 45,,,,./0.png
14.7994840909795,45.3740808842519,92,,,,,./0.png
14.7949721882894,45.3725395612192,93,Račva 45,,,,./0.png
14.7951025397548,45.3727003322686,94,Račva 45,,,,./0.png
14.7951848464583,45.3728010121787,95,Račva 45,,,,./0.png
14.7953651676149,45.3729840446394,96,Račva 45,,,,./0.png
14.7955309425738,45.3731187898109,97,Račva 45,,,,./0.png
14.7957722461865,45.3733282561597,98,Račva 45,,,,./0.png
14.7955300287716,45.3739975265928,99,Račva 45,,,,./0.png
14.7960611109375,45.374079958271,100,Račva 45,,,,./0.png
14.7960960310798,45.3741173338589,101,Račva 45,,,,./0.png
14.7962460204314,45.3742421003705,102,Račva 45,,,,./0.png
14.7966287339049,45.374514151703,103,Račva 45,,,,./0.png
14.7967158551381,45.3745827407164,104,Račva 45,,,,./0.png
14.7968790451153,45.3746620063799,105,Račva 45,,,,./0.png
14.797263935268,45.3748573797695,106,Račva 45,,,,./0.png
