X,Y,Profil,Tip,Napomena,Datum,icon_url
14.7928516723878,45.379840841452,"100",AMR Control,,,./0.png
14.8007966592673,45.3750756793836,"150",Običan vodomjer,,,./0.png
14.7895944172261,45.3861018380352,"100",Običan vodomjer,,,./0.png
14.7943095320453,45.3917580688536,"100",AMR control,,,./0.png
14.794302422951,45.3917471393338,"250",AMR control,,,./0.png
14.7943015167917,45.3917556343984,"100",Običan vodomjer,,,./0.png
14.7942935136233,45.3917620588443,"100",Običan vodomjer,,,./0.png
14.7985999719023,45.3936029496898,"100",AMR Control,,,./0.png
14.7981838602126,45.3932699527414,"100",AMR Control,,,./0.png
14.8019693769752,45.3977644804424,"100",AMR Control,,,./0.png
14.8018056999659,45.3977884471993,"100",AMR Control,,,./0.png
14.8017838413265,45.3977293366309,"100",AMR Control,,,./0.png
14.8022539435422,45.3985380160095,"100",AMR Control,,,./0.png
14.8001938924838,45.3947505145999,"100",AMR control,,,./0.png
14.8000096079902,45.3948410478652,"100",AMR control,,,./0.png
14.8045448620394,45.4009548773051,"100",,AMR control,,./0.png
14.8046167549512,45.4012143926648,"100",AMR control,,,./0.png
14.8078451418319,45.4055884354711,"100",AMR control,,,./0.png
14.8008877797169,45.3937760813741,"100",AMR Control,,,./0.png
14.9699901357633,45.4616227826348,,,,,./0.png
